loan_id,age,income,employment_status,loan_amount,interest_rate,loan_term,credit_score,past_due_payments,on_time_payments,collateral,loan_type,default
46,35,109466,Self-Employed,47243,5.67,36,591,0,40,Property,Home,0
47,47,100225,Unemployed,1577,5.06,48,694,8,40,Vehicle,Home,0
48,36,108317,Unemployed,25218,15.75,60,638,4,26,Vehicle,Business,0
49,22,43202,Employed,2168,12.55,12,423,9,24,Property,Personal,0
50,47,21492,Unemployed,23132,15.31,24,351,0,40,None,Personal,1
51,36,140685,Self-Employed,12385,7.3,24,651,4,10,Vehicle,Home,0
52,46,131166,Unemployed,6316,10.89,24,487,6,34,Property,Home,1
53,37,124295,Employed,5665,13.74,24,351,5,49,Property,Home,1
54,46,132182,Self-Employed,17966,16.2,12,817,5,34,Vehicle,Home,1
55,31,36741,Self-Employed,19704,9.59,36,760,7,5,Property,Personal,0
56,58,27504,Unemployed,14967,9.39,60,450,2,16,Property,Home,1
57,49,88207,Self-Employed,26708,16.26,36,323,2,7,None,Business,0
58,62,109814,Self-Employed,13997,9.58,24,833,1,5,Vehicle,Business,0
59,26,55925,Self-Employed,15804,9.13,48,753,2,48,None,Business,0
60,26,39555,Unemployed,14602,17.19,60,522,7,5,Property,Home,0
61,26,141532,Self-Employed,7474,16.38,48,462,2,10,Vehicle,Auto,1
62,38,100159,Unemployed,35680,13.75,24,761,3,34,None,Personal,0
63,54,105377,Self-Employed,25185,6.88,36,727,9,7,None,Business,1
64,62,77770,Unemployed,25342,11.47,12,482,0,21,Vehicle,Auto,0
65,30,77117,Unemployed,19897,5.88,24,454,0,11,Vehicle,Home,0
66,45,55002,Self-Employed,23047,17.55,24,579,7,27,None,Business,0
67,38,62029,Unemployed,44241,15.11,60,632,4,10,None,Business,1
68,28,31028,Self-Employed,32306,5.66,48,529,9,22,Vehicle,Home,1
69,54,24536,Employed,7012,6.96,60,493,3,10,None,Personal,0
70,31,119867,Unemployed,4480,11.06,48,498,3,32,Property,Personal,0
71,54,127168,Unemployed,6602,14.56,60,773,5,23,None,Personal,1
72,23,27832,Self-Employed,28095,8.78,36,649,8,37,Property,Auto,1
73,39,24220,Unemployed,20246,11.15,48,604,3,32,Vehicle,Home,1
74,43,131740,Unemployed,15054,15.03,60,800,3,49,None,Business,0
75,29,50348,Employed,40437,6.03,48,727,5,44,None,Business,1
76,38,25456,Employed,19850,15.43,36,380,0,21,Vehicle,Business,0
77,29,44540,Self-Employed,5290,13.49,36,803,6,45,None,Auto,0
78,30,81050,Employed,24253,6.16,36,467,6,49,Vehicle,Home,0
79,59,90652,Self-Employed,14590,15.24,48,589,2,34,Property,Business,0
80,31,32156,Self-Employed,8502,16.77,36,762,5,16,Property,Business,1
81,41,129409,Self-Employed,24099,12.1,60,814,6,46,Vehicle,Auto,0
82,51,97325,Unemployed,4335,8.95,60,735,0,6,Vehicle,Business,0
83,62,30685,Unemployed,38665,16.88,60,600,6,21,Property,Personal,0
84,22,69079,Unemployed,18813,8.44,36,484,9,42,Vehicle,Auto,0
85,53,27867,Unemployed,8796,14.53,12,702,3,42,Property,Home,1
86,45,44931,Unemployed,38440,13.29,12,338,9,31,Vehicle,Auto,1
87,44,60327,Employed,29273,12.38,24,401,5,24,Vehicle,Home,0
88,62,55491,Employed,39725,16.91,60,635,7,15,None,Auto,0
89,63,131822,Employed,18968,15.91,60,405,0,11,Vehicle,Personal,0
90,21,77303,Unemployed,2826,6.95,24,337,4,37,Vehicle,Personal,0
91,40,149375,Self-Employed,40390,16.29,60,780,4,13,Property,Auto,0
92,61,50821,Self-Employed,37056,7.3,36,599,6,45,Property,Auto,1
93,50,64357,Unemployed,21694,12.28,48,360,6,23,Vehicle,Business,0
94,22,62079,Unemployed,32478,14.44,60,548,7,13,Vehicle,Auto,0
95,62,82847,Self-Employed,48804,11.31,12,580,8,22,None,Business,0
96,60,145508,Employed,22475,15.61,24,405,2,45,Property,Business,0
97,49,140471,Self-Employed,14494,8.52,60,586,7,42,Property,Home,0
98,28,113459,Unemployed,45466,9.02,60,549,2,24,Property,Personal,0
99,31,27376,Self-Employed,41279,12.68,36,614,6,47,Vehicle,Home,1
100,34,110556,Self-Employed,14057,13.58,60,806,6,18,Property,Business,0
101,26,58008,Self-Employed,38657,16.54,12,461,3,40,None,Home,1
102,62,61420,Unemployed,31424,5.66,12,655,8,28,Property,Auto,0
103,28,73733,Unemployed,29050,8.63,12,772,8,14,None,Personal,0
104,34,26244,Unemployed,1540,11.54,12,466,3,34,Property,Auto,1
105,58,24555,Self-Employed,40607,6.27,24,580,8,47,None,Home,1
106,41,49778,Self-Employed,22035,9.1,24,797,4,23,Property,Business,1
107,53,83399,Self-Employed,40734,11.31,48,526,1,14,Property,Business,0
108,46,96490,Employed,21699,10.68,36,518,6,31,Vehicle,Personal,1
109,48,32523,Employed,15803,11.75,12,746,3,5,Property,Auto,0
110,57,50797,Employed,33814,15.32,36,677,9,15,Property,Personal,0
111,37,149628,Unemployed,21550,10.82,12,657,9,13,Property,Business,0
112,48,23886,Self-Employed,29677,10.85,24,714,8,17,Property,Personal,1
113,23,96865,Self-Employed,37796,8.2,36,487,6,11,None,Personal,0
114,31,46585,Unemployed,39197,16.77,36,554,4,44,Property,Business,1
115,44,95260,Employed,14143,11.44,12,618,3,35,None,Auto,1
116,29,97539,Unemployed,41584,7.87,12,312,0,37,Vehicle,Auto,0
117,33,134512,Employed,49118,11.95,36,515,0,18,Vehicle,Auto,1
118,22,105462,Unemployed,21819,5.03,12,457,4,36,None,Business,0
119,54,83019,Self-Employed,39612,12.91,60,676,6,41,None,Auto,0
120,28,111419,Unemployed,30487,11.73,36,602,5,12,Property,Personal,0
121,36,100549,Unemployed,40145,14.37,24,621,3,49,None,Home,0
122,23,92926,Unemployed,27873,16.28,24,626,1,27,None,Business,0
123,57,48159,Self-Employed,26147,15.54,36,639,8,46,Property,Auto,1
124,23,107026,Unemployed,7601,8.65,24,565,2,17,Property,Auto,0
125,62,81807,Self-Employed,4619,8.78,24,713,1,7,None,Business,0
126,30,49777,Self-Employed,21865,13.78,60,376,2,34,None,Business,0
127,26,40844,Employed,13978,6.1,36,499,0,45,Vehicle,Home,0
128,23,74595,Self-Employed,42711,16.74,12,659,0,26,None,Personal,0
129,61,93824,Self-Employed,46927,14.89,36,810,5,46,Property,Business,0
130,41,45604,Self-Employed,45301,5.59,24,396,9,6,Vehicle,Personal,1
131,27,101647,Unemployed,29056,16.72,24,658,7,14,None,Personal,1
132,35,77583,Employed,35729,7.47,36,407,3,28,Vehicle,Auto,0
133,38,76871,Self-Employed,6921,9.88,60,705,8,29,Property,Personal,1
134,31,118021,Unemployed,39698,12.17,60,350,2,17,Vehicle,Home,0
135,27,62706,Unemployed,41323,6.57,36,458,5,24,None,Home,1
136,36,35752,Self-Employed,18500,7.32,12,814,5,46,Property,Auto,0
137,36,134340,Employed,16779,17.61,48,453,3,8,Property,Home,0
138,46,34328,Unemployed,9702,13.01,24,432,3,40,None,Business,1
139,48,66378,Employed,45234,12.05,36,813,8,15,Vehicle,Business,0
140,40,72012,Employed,4695,17.12,60,640,0,12,Vehicle,Auto,0
141,50,144531,Unemployed,13730,9.8,60,590,7,29,Property,Business,0
142,49,53314,Self-Employed,43225,9.59,60,400,2,26,None,Auto,0
143,64,63899,Unemployed,6288,16.62,36,508,3,6,Vehicle,Home,0
144,25,91558,Unemployed,28612,14.67,48,661,5,12,Property,Business,0
145,53,109038,Employed,11657,6.8,36,377,8,25,Vehicle,Business,1
146,26,89171,Employed,39791,7.05,48,560,0,14,Property,Home,0
147,40,100356,Employed,29901,13.28,60,457,2,30,Vehicle,Personal,1
148,50,74041,Employed,28472,12.49,48,444,8,10,Vehicle,Auto,0
149,37,52832,Self-Employed,16805,16.02,36,406,1,38,Vehicle,Business,0
150,54,148458,Self-Employed,15049,12.28,24,408,0,24,None,Business,1
151,23,54350,Self-Employed,15305,16.5,24,402,5,24,Property,Business,1
152,43,64632,Self-Employed,38354,13.35,60,512,2,35,Property,Auto,1
153,28,56470,Employed,32573,9.32,12,495,8,39,Vehicle,Home,1
154,51,147830,Self-Employed,23138,16.65,48,667,6,14,Property,Auto,0
155,21,43698,Self-Employed,18380,11.71,60,731,2,15,Property,Home,0
156,44,76442,Employed,46365,17,36,558,1,34,Property,Auto,1
157,59,72171,Self-Employed,25883,13.72,60,414,6,7,None,Business,0
158,46,112018,Employed,7847,14.63,24,787,4,26,Property,Personal,0
159,24,53141,Unemployed,28826,17.48,48,525,1,18,Property,Auto,0
160,41,42450,Self-Employed,39440,8.63,60,655,7,17,None,Business,1
161,38,101067,Employed,20502,10.95,36,767,7,23,Vehicle,Home,1
162,40,117517,Self-Employed,33832,15.05,48,454,4,9,Vehicle,Personal,0
163,22,66130,Employed,46585,17.65,36,675,2,27,None,Home,1
164,40,143055,Unemployed,40879,11.14,48,461,3,35,Property,Personal,0
165,22,146301,Employed,49111,14.47,60,570,8,25,None,Auto,1
166,30,124903,Employed,42146,12.61,36,412,8,44,Property,Home,1
167,54,138047,Self-Employed,15218,9.86,24,657,3,46,Vehicle,Auto,0
168,29,106598,Employed,38269,8.05,48,426,3,23,None,Home,0
169,53,82661,Self-Employed,34205,6.19,60,333,7,15,Vehicle,Auto,0
170,48,41244,Unemployed,49715,16.16,48,312,6,34,Property,Home,0
171,37,117524,Employed,45542,10.65,60,663,1,35,None,Auto,0
172,50,114647,Self-Employed,34553,10.35,36,746,7,47,None,Auto,0
173,64,66364,Employed,11751,8.17,12,574,6,5,Property,Personal,1
174,52,32946,Self-Employed,43516,5.6,12,699,3,8,None,Business,1
175,30,98727,Employed,13758,12.91,36,847,5,37,None,Home,0
176,50,116890,Unemployed,43692,13.19,60,499,7,15,Property,Business,0
177,41,77375,Employed,14977,7.35,24,597,1,21,Property,Personal,0
178,63,55954,Self-Employed,31081,8.89,48,501,8,44,Vehicle,Business,0
179,27,77507,Unemployed,28554,12.52,36,300,4,30,Vehicle,Personal,0
180,53,61282,Unemployed,47218,8.77,60,505,0,32,Property,Personal,0
181,25,147960,Self-Employed,2648,17.74,12,537,3,35,None,Personal,0
182,45,81386,Unemployed,28066,8.98,60,798,6,44,Vehicle,Auto,0
183,23,101001,Employed,46220,11.35,12,483,1,36,Vehicle,Business,0
184,52,73694,Unemployed,29012,6.92,36,550,2,47,None,Business,0
185,52,104819,Unemployed,6123,17.21,60,604,6,29,Property,Home,1
186,40,45909,Self-Employed,14730,7.39,12,616,8,11,Property,Personal,1
187,42,77688,Unemployed,24091,13.52,24,483,4,43,Vehicle,Auto,1
188,48,111738,Self-Employed,13553,5.07,60,551,9,31,None,Auto,1
189,25,130131,Unemployed,29625,11.87,36,524,0,7,Vehicle,Home,1
190,54,101006,Self-Employed,25778,11.26,24,516,6,24,Vehicle,Home,0
191,21,69540,Employed,18853,5.03,48,449,2,9,Vehicle,Personal,1
192,58,139938,Employed,39198,13.67,12,531,3,27,Vehicle,Home,0
193,26,108133,Unemployed,40401,13.35,24,362,7,5,Property,Personal,0
194,22,125101,Unemployed,16331,10.46,36,467,8,27,None,Home,1
195,42,57293,Unemployed,32246,6.77,48,470,4,11,Property,Business,0
196,35,133419,Unemployed,41062,17.51,12,488,6,47,Vehicle,Home,0
197,25,100026,Unemployed,20555,15.12,36,301,9,13,Vehicle,Home,1
198,64,146317,Employed,3532,7.26,36,610,9,10,Property,Business,0
199,39,24266,Unemployed,4281,5.96,12,778,7,26,Property,Auto,1
200,43,63089,Self-Employed,11984,8.8,36,613,7,28,Property,Auto,0
201,58,59729,Unemployed,11620,14.51,36,550,8,18,Property,Home,1
202,58,44672,Employed,44763,17.15,60,791,4,43,Property,Home,1
203,49,33618,Self-Employed,49703,9.48,24,365,2,44,Vehicle,Personal,1
204,60,130901,Self-Employed,7557,15.27,60,481,2,8,Vehicle,Auto,0
205,22,118042,Self-Employed,30347,13.13,12,827,0,26,Vehicle,Personal,0
206,60,46029,Unemployed,40835,9.18,48,366,0,36,Vehicle,Auto,0
207,60,112416,Employed,28074,5.17,24,557,8,35,Vehicle,Personal,1
208,30,43570,Unemployed,46178,11.98,24,401,4,17,Property,Business,0
209,53,124039,Unemployed,5460,10.87,12,584,8,41,Property,Personal,0
210,34,134278,Employed,40069,13.61,36,320,4,36,Vehicle,Business,1
211,33,59040,Self-Employed,17248,6.66,36,817,7,9,Property,Business,0
212,42,53834,Employed,15287,7.52,24,680,2,10,None,Personal,0
213,26,43424,Self-Employed,6685,8.88,48,491,0,7,Vehicle,Auto,0
214,27,57363,Employed,25208,7.74,36,507,5,26,Vehicle,Business,0
215,23,113075,Employed,31698,12.6,36,382,1,6,Vehicle,Personal,1
216,34,73702,Unemployed,47381,12.79,48,358,4,21,Property,Personal,1
217,25,128187,Self-Employed,26736,13.27,36,571,4,29,Property,Home,0
218,57,69425,Self-Employed,26106,17.73,48,524,2,33,Vehicle,Auto,0
219,24,89020,Unemployed,39287,6.62,36,473,6,28,Property,Business,0
220,22,26073,Unemployed,34831,9.37,60,444,0,13,Property,Business,0
221,21,73829,Employed,46880,9.59,36,406,8,16,Property,Personal,1
222,55,73726,Self-Employed,4854,5.91,24,680,4,11,Vehicle,Home,1
223,52,29576,Self-Employed,49542,9.24,24,602,7,17,Property,Business,1
224,52,95834,Employed,8607,15.03,60,361,7,8,Property,Home,1
225,26,61300,Self-Employed,26536,17.36,24,759,4,16,Property,Home,0
226,48,68993,Employed,1055,10.93,60,563,0,47,Property,Home,0
227,38,68487,Employed,40225,11.94,36,344,5,28,None,Auto,1
228,29,75885,Self-Employed,29275,10.18,60,588,3,23,Vehicle,Business,0
229,22,34208,Self-Employed,25544,16.94,36,376,6,14,None,Business,0
230,44,135285,Self-Employed,6750,5.66,48,365,7,49,Vehicle,Personal,1
231,28,54898,Unemployed,38536,9.15,48,670,9,21,Vehicle,Auto,0
232,25,32873,Self-Employed,12222,12.72,12,420,5,33,Property,Personal,0
233,33,22328,Unemployed,40180,9.16,12,636,7,28,Vehicle,Auto,1
234,52,76415,Unemployed,23756,12.23,12,713,4,49,None,Home,0
235,52,148541,Unemployed,11857,13.08,36,417,7,8,None,Auto,1
236,49,42594,Unemployed,32666,8.42,60,449,6,40,None,Auto,1
237,36,55786,Unemployed,42950,6.96,12,743,3,29,Vehicle,Business,0
238,61,100349,Unemployed,40139,15.45,12,383,6,33,None,Business,0
239,51,22284,Self-Employed,11332,16.93,60,690,2,25,None,Home,1
240,32,42631,Self-Employed,9713,7.3,36,316,1,44,None,Personal,0
241,58,81653,Self-Employed,36764,17.23,24,493,5,27,None,Home,0
242,62,112136,Unemployed,24804,14.94,36,601,9,24,Property,Personal,1
243,44,70486,Unemployed,12722,17.27,36,399,9,7,Vehicle,Business,0
244,26,72161,Unemployed,12327,7.97,36,613,9,28,None,Home,1
245,46,141317,Employed,23475,8.13,12,384,2,43,Property,Business,1
246,56,80705,Employed,49088,5.81,12,573,9,35,Vehicle,Home,0
247,36,111809,Self-Employed,48467,16.43,24,748,7,23,None,Business,0
248,52,142869,Unemployed,22974,9.85,60,689,9,28,Vehicle,Auto,1
249,54,49059,Employed,10222,8.88,24,555,5,28,Vehicle,Auto,0
250,32,121948,Employed,34215,14.29,12,330,6,5,None,Personal,0
251,21,102029,Self-Employed,38362,14.34,36,412,3,6,Property,Auto,0
252,47,29274,Employed,20725,10.73,48,692,4,18,None,Home,0
253,45,66205,Self-Employed,44224,9.55,24,466,5,16,Property,Home,0
254,53,131196,Unemployed,46823,17.07,24,424,3,30,Property,Business,0
255,34,94449,Employed,38027,14.36,60,529,2,13,Property,Personal,0
256,21,149354,Unemployed,22665,9.39,24,560,4,36,Property,Personal,0
257,31,147365,Employed,12782,7.74,24,317,8,45,None,Auto,0
258,46,26514,Self-Employed,12909,7.77,36,492,0,30,Property,Auto,0
259,39,78837,Employed,17053,9.06,12,328,8,36,None,Home,1
260,21,31888,Self-Employed,43057,14.06,36,737,4,37,Vehicle,Personal,1
261,21,115111,Employed,16968,5.21,36,727,2,43,Vehicle,Home,0
262,63,95038,Self-Employed,35320,11.21,24,829,7,45,None,Business,1
263,26,54418,Self-Employed,44363,12.84,36,667,8,19,Property,Personal,0
264,47,33340,Employed,30244,6.81,60,496,9,34,Property,Home,1
265,38,25625,Employed,34770,5.75,36,579,2,35,Property,Auto,1
266,34,93919,Unemployed,30749,12.79,24,788,6,33,Property,Auto,0
267,55,69527,Employed,34430,13.25,24,562,5,38,Vehicle,Auto,1
268,35,134843,Self-Employed,30645,7.06,36,833,9,15,Property,Personal,1
269,33,64932,Unemployed,7464,12,60,501,1,8,Vehicle,Auto,0
270,62,127673,Unemployed,24018,17.26,24,818,5,7,Property,Home,0
271,44,109945,Employed,9087,6.51,24,304,1,20,Vehicle,Auto,0
272,33,120830,Unemployed,48439,17.97,12,552,6,5,Property,Home,1
273,28,145117,Self-Employed,4535,10.71,60,486,1,48,None,Auto,0
274,42,70870,Unemployed,16691,17.37,60,538,2,6,None,Home,0
275,52,94890,Self-Employed,44638,10.76,24,744,7,7,Vehicle,Business,1
276,46,92731,Self-Employed,7909,12.43,36,369,9,31,Vehicle,Home,1
277,63,60852,Self-Employed,45978,14.96,24,413,8,38,Property,Business,1
278,44,87286,Employed,38070,9.13,12,416,1,20,Property,Business,0
279,55,76322,Employed,11072,15.11,60,710,7,46,None,Personal,0
280,54,48126,Employed,21154,9.86,48,384,7,17,None,Auto,1
281,54,91799,Employed,30195,15.94,48,473,4,37,Property,Business,0
282,52,63180,Self-Employed,20667,14.54,36,423,9,27,Property,Home,1
283,38,145963,Self-Employed,28150,12.96,48,678,5,10,Property,Business,0
284,27,119800,Self-Employed,38359,7.39,48,574,4,6,Vehicle,Auto,0
285,47,108257,Unemployed,5768,9.52,36,591,6,36,Property,Personal,1
286,23,91818,Self-Employed,37458,6.67,60,495,2,34,Property,Home,0
287,52,102514,Self-Employed,32804,10.41,24,772,9,33,None,Personal,0
288,29,52370,Employed,37400,13.74,36,412,3,40,Vehicle,Home,0
289,56,86247,Unemployed,48501,7.09,24,642,3,14,Property,Auto,1
290,62,126065,Employed,38442,10.23,36,452,7,25,Vehicle,Business,0
291,54,146463,Self-Employed,18459,10.83,24,390,4,24,Property,Auto,0
292,58,142208,Employed,34592,7.56,24,377,9,15,Property,Home,1
293,48,60738,Employed,36252,15.51,36,831,5,20,Property,Personal,0
294,30,87834,Unemployed,24726,11.55,24,749,7,35,Property,Business,1
295,23,30780,Employed,42214,7.59,60,573,3,41,Property,Personal,1
296,41,49729,Self-Employed,41652,12.01,12,846,0,47,Property,Personal,0
297,54,22596,Self-Employed,7213,6.68,48,471,3,36,Property,Home,0
298,38,90621,Self-Employed,37831,11.73,12,735,0,7,None,Personal,0
299,27,100211,Unemployed,10177,17.58,24,504,4,34,Property,Personal,0
300,21,144719,Employed,17129,16.47,60,690,6,16,None,Business,0
301,59,22277,Unemployed,12358,11.88,12,568,9,24,Vehicle,Home,1
302,50,141911,Unemployed,26082,14.17,12,545,8,47,None,Business,0
303,33,97013,Self-Employed,46309,5.31,12,743,3,41,Property,Home,1
304,54,69753,Employed,8153,14.31,48,629,3,40,None,Personal,0
305,28,139282,Self-Employed,39185,13.2,48,499,2,39,None,Home,0
306,38,112450,Employed,27750,14.57,48,631,8,13,None,Home,0
307,22,37607,Unemployed,23574,13.04,36,510,5,8,Vehicle,Auto,1
308,41,101934,Self-Employed,23633,10.41,60,697,3,40,Property,Business,0
309,61,81698,Self-Employed,39549,5.34,48,814,8,17,None,Business,1
310,57,126751,Unemployed,36857,5.32,36,456,6,36,Vehicle,Home,0
311,48,92554,Unemployed,13169,9.46,12,790,1,7,Vehicle,Home,0
312,44,96483,Unemployed,31376,5.28,48,522,2,24,Vehicle,Home,0
313,60,105288,Employed,9937,13.99,60,399,1,47,Property,Home,0
314,36,105964,Unemployed,26030,17.55,48,726,8,17,Vehicle,Business,0
315,41,64860,Self-Employed,11275,16.76,12,373,3,23,Property,Home,0
316,43,89465,Self-Employed,17707,12.74,36,753,7,26,Vehicle,Home,0
317,61,126866,Self-Employed,35115,14.53,48,477,2,14,None,Home,0
318,62,79278,Unemployed,48100,10.67,36,627,0,49,Vehicle,Auto,0
319,53,146948,Self-Employed,28816,8.64,36,621,3,47,Property,Business,0
320,55,89509,Unemployed,34503,17.76,12,788,9,38,Vehicle,Home,0
321,22,96594,Unemployed,18573,17.25,24,417,7,9,Property,Business,0
322,38,52380,Unemployed,32829,15.16,36,437,1,13,Vehicle,Home,0
323,44,28807,Unemployed,28400,11.75,48,593,7,7,Property,Personal,0
324,46,126459,Employed,5261,11.18,24,676,2,14,Property,Home,0
325,63,88222,Unemployed,6307,13.12,12,785,9,39,Vehicle,Business,0
326,41,134949,Unemployed,21071,17.46,48,604,3,19,None,Auto,0
327,55,124058,Employed,20617,5.67,12,788,5,9,Vehicle,Auto,0
328,51,72478,Self-Employed,21255,5.55,48,592,4,36,Property,Business,0
329,21,94687,Unemployed,16386,13.3,24,669,0,47,Property,Home,0
330,61,114002,Unemployed,14130,17.5,60,713,3,13,None,Business,0
331,39,135845,Unemployed,14234,12.41,12,795,7,34,None,Home,0
332,62,89735,Self-Employed,46747,9.07,36,301,5,47,Property,Personal,0
333,39,38164,Unemployed,46927,8.71,12,582,5,6,Vehicle,Business,1
334,45,57744,Employed,8890,12.91,48,572,8,14,Property,Personal,1
335,54,21151,Self-Employed,46740,6.06,36,642,1,35,None,Home,1
336,52,117298,Unemployed,24410,15.44,48,455,7,38,Vehicle,Home,1
337,51,148698,Unemployed,24609,8.09,24,725,7,31,Vehicle,Business,0
338,24,141375,Employed,11611,13.62,60,711,1,15,None,Personal,0
339,35,124837,Unemployed,36507,14.01,48,682,6,16,None,Personal,1
340,56,84564,Unemployed,41871,17.38,36,302,2,40,None,Business,1
341,39,24685,Self-Employed,17291,14.04,24,429,4,9,Vehicle,Personal,1
342,32,87228,Unemployed,20577,7.2,48,839,4,21,None,Business,0
343,64,66422,Unemployed,22888,6.13,36,590,8,24,Vehicle,Auto,1
344,42,89337,Unemployed,22226,6.02,60,679,6,19,Vehicle,Auto,1
345,58,68959,Unemployed,7552,9.43,24,846,9,6,Vehicle,Auto,0
346,53,133669,Self-Employed,24115,15.2,48,792,8,18,Vehicle,Auto,0
347,50,77215,Employed,17930,5.25,48,818,9,40,Property,Home,0
348,29,26351,Self-Employed,10162,16.37,48,663,4,42,Property,Business,1
349,56,63310,Unemployed,12740,13.04,60,490,5,20,Vehicle,Auto,1
350,21,33907,Employed,23808,10.16,60,557,8,5,Property,Personal,1
351,23,136864,Self-Employed,3827,17.36,24,389,9,5,None,Personal,1
352,49,63088,Employed,49293,16.07,36,625,2,45,Property,Business,1
353,23,22671,Self-Employed,31346,15.13,24,544,3,14,Property,Personal,0
354,32,36931,Unemployed,6780,11.94,60,690,6,7,None,Auto,0
355,22,67569,Employed,24770,10.14,24,512,2,24,Property,Home,1
356,25,60204,Employed,41891,7.99,48,651,3,33,Vehicle,Home,1
357,22,142359,Employed,45649,9.65,24,741,6,49,None,Home,0
358,45,133508,Unemployed,42709,9.44,12,826,6,37,Property,Auto,0
359,37,39788,Employed,6209,6.3,48,815,1,40,Property,Home,0
360,62,20867,Unemployed,13589,13.68,48,673,2,46,None,Business,0
361,54,117507,Self-Employed,29316,12.92,36,832,2,49,Property,Home,0
362,63,47630,Employed,42279,5.79,36,592,8,30,None,Home,1
363,24,91338,Employed,26502,5.94,48,761,6,29,Vehicle,Home,0
364,53,95888,Unemployed,14002,10.3,48,780,5,39,Vehicle,Personal,1
365,58,31311,Unemployed,22231,7.72,48,340,5,23,None,Home,1
366,24,46005,Self-Employed,42257,10.04,24,627,7,9,None,Auto,0
367,55,56971,Employed,23835,6.61,12,510,4,17,Property,Home,1
368,41,59934,Self-Employed,15785,11.16,12,607,5,24,None,Auto,0
369,36,43539,Employed,28525,9.49,24,757,9,46,Property,Auto,0
370,35,105955,Unemployed,9949,6.6,12,468,5,32,Property,Personal,0
371,21,65647,Employed,14470,10.06,36,841,8,33,Property,Auto,0
372,36,22156,Unemployed,18572,14.18,60,563,1,39,None,Business,1
373,29,97844,Employed,17414,6.5,60,361,6,13,Vehicle,Home,1
374,53,82825,Employed,44874,10.49,60,366,6,6,Vehicle,Personal,1
375,41,95020,Unemployed,33469,13.85,36,351,4,47,None,Auto,0
